,번호,발생시각,규모,깊이(km),최대진도,위도,경도,위치
270,132,2020-01-30 00:52:52,3.2,21,Ⅲ,36.59,128.12,경북 상주시 북쪽 20km 지역
272,130,2020-01-15 22:46:11,2.1,8,Ⅱ,37.11,128.29,충북 제천시 동남동쪽 9km 지역
273,129,2020-01-08 06:03:00,2.0,17,Ⅰ,35.91,128.38,경북 성주군 동쪽 9km 지역
274,128,2019-12-30 01:44:02,2.1,19,Ⅱ,35.56,128.90,경남 밀양시 동북동쪽 15km 지역
275,127,2019-12-30 00:32:08,3.5,20,Ⅳ,35.56,128.90,경남 밀양시 동북동쪽 15km 지역
276,126,2019-12-29 08:43:26,2.3,17,Ⅰ,33.33,127.16,제주 서귀포시 동쪽 56km 해역
277,125,2019-12-24 06:19:16,2.4,18,Ⅰ,33.29,127.16,제주 서귀포시 동쪽 56km 해역
279,123,2019-12-15 14:15:40,2.0,11,Ⅲ,37.16,126.22,충남 서산시 북북서쪽 46km 해역
280,122,2019-12-12 20:29:55,2.1,21,Ⅰ,33.55,126.92,제주 제주시 동쪽 36km 해역
281,121,2019-12-08 12:09:24,2.0,-,Ⅰ,35.12,124.96,전남 신안군 흑산도 북서쪽 70km 해역
282,120,2019-12-04 17:19:20,2.6,9,Ⅰ,33.94,124.70,전남 신안군 흑산도 남서쪽 106km 해역
283,119,2019-11-29 12:04:43,2.0,21,Ⅰ,36.86,129.79,경북 울진군 동남동쪽 38km 해역
284,118,2019-11-21 19:55:50,2.4,12,Ⅰ,33.83,128.09,전남 여수시 거문도 동남동쪽 75km 해역
285,117,2019-11-21 06:08:07,2.3,6,Ⅰ,35.13,124.93,전남 신안군 흑산도 북서쪽 73km 해역
286,116,2019-11-09 23:14:14,2.4,9,Ⅰ,37.62,124.65,인천 옹진군 백령도 남쪽 37km 해역
287,115,2019-10-31 16:29:34,2.1,-,Ⅲ,37.24,126.11,인천 옹진군 서남서쪽 52km 지역
