,usim,manufacturer,latitude,longitude,address,facility_type,floor,notice,geometry,sigungu
2667,01232971868,엔티모아,34.839,128.418,경남 통영시 서호동 318,SKT2,[지상] 1/2층,통영파출소,POINT (1083934.0244963414 1649758.137090099),0
2668,01231329157,엔티모아,38.198,128.594,강원 속초시 청호동 1341-14,SKT2,[지상] 1/3층,속초해경파출소,POINT (1095792.8374736654 2022534.4488231752),속초시
2669,01232971923,엔티모아,35.442,129.353,울산 울주군 온산읍 산암리 150-2,SKT1,[지상] 1층/3층층,온산출장소,POINT (1168184.718129117 1717823.3316742121),울주군
2670,01232972303,엔티모아,37.453,126.612,인천 중구 항동7가 27-171,SKT1,[지상] 1/2층,,POINT (921459.6172478653 1939682.1695930096),0
2671,01232972159,엔티모아,34.78,126.38,목포시 해안동 4가 6-7,SKT1,[지상] 1/2층,목포 서산파출소,POINT (897523.0605420319 1643402.702563168),0
2672,01232972016,엔티모아,35.355,129.343,울산 울주군 서생면 나사리 168,SKT1,[지상] 1층/1층,나사출장소,POINT (1167456.8528632578 1708156.086716104),울주군
2673,01232972098,엔티모아,38.328,128.525,강원 고성군 죽왕면 문암진리 134-86,SKT1,[지상] 1/1층,속초해양경찰서 문암출장소,POINT (1089591.075770744 2036890.3128355222),고성군
2674,01232971948,엔티모아,36.901,126.206,옥파로 1210,SKT1,[지상] 1/2층,학암포파출소,POINT (884713.1116094912 1878856.803141914),태안군
2675,01232971876,엔티모아,34.926,128.079,경남 사천시 동금동 158-185,SKT1,[지상] 1/2층,사천파출소,POINT (1052882.5423574133 1659174.7565429625),사천시
2676,01232973483,엔티모아,35.675,126.527,송포길52-1,SKT1,[지상] 1/1층,부안해양경찰서 송포출장소,POINT (911946.0574839625 1742523.2150998167),부안군
2677,01232973281,엔티모아,34.848,126.227,전라남도 신안군 압해면 송공리 압해로1846,SKT1,[지상] 1/1층,송공출장소,POINT (883618.8910884543 1651110.8591309343),신안군
