usim	manufacturer	latitude	longitude	address	facility_type	floor	notice
01231315939 (2143)	엔티모아	37.266	127.399	경기도 서이천로 481-28	SKT2	[지하] 2/8층	패기관 지하2층
01231321407 (2144)	엔티모아	37.266	127.399	경기도 서이천로 481-28	SKT2	[지하] 1/8층	패기관 지하1층
01231321215 (2145)	엔티모아	37.266	127.399	경기도 서이천로 481-28	SKT1	[지상] 1/8층	패기관 1층
01231316399 (2146)	엔티모아	37.266	127.399	경기도 서이천로 481-28	SKT1	[지상] 2/8층	패기관 2층
01231300520 (2147)	엔티모아	37.267	127.398	경기도 이천시 마장면 목리 63-1	SKT2	[지상] 3/8층	패기관 3층
01231322399 (2148)	엔티모아	37.166	129.033	강원 태백시 통동 84-11	SKT1	[지상] 1/1층	태백통리기지국 밧데리 옆 설치
01231320840 (2150)	엔티모아	37.267	127.398	경기도 이천시 마장면 목리 63-1	SKT1	[지상] 6/8층	패기관 6층
01231322460 (2151)	엔티모아	37.416	127.826	강원 원주시 지정면 월송리 999-19	SKT1	[지상] 1/1층	컨테이너 벽면 설치
01231322509 (2152)	엔티모아	37.526	127.886	강원 횡성군 서원면 유현리 135-5	SKT2	[지상] 1/1층	횡성서원기지국 컨테이너
01231322732 (2153)	엔티모아	37.469	128.845	강원 정선군 임계면 낙천리 900-1	SKT1	[지상] 1/1층	정선봉산기지국 / 컨데이너 기지국 / 출입문 우측 벽면 하단콘센트
01231322352 (2154)	엔티모아	37.591	128.419	강원 평창군 용평면 장평리197-1	SKT1	[지상] 1/1층	컨테이너 안 메인분전반 옆
01231322133 (2155)	엔티모아	37.785	128.135	강원 홍천군 내촌면 물걸리 1057-12	SKT1	[지상] 1/1층	컨테이너 기지국 내부
01231300230 (2158)	우리넷	36.913	128.074	충북 제천시 한수면 탄지리 산 72-1	SKT1	[지상] 1/1층	컨테이너 기지국 1층 자연공조화풍기 옆
01231322430 (2159)	엔티모아	37.401	128.592	정선읍 용탄리 957	SKT1	[지상] 1/1층	컨테이너형기지국/ 출입문 우측 벽면설치
01231322770 (2160)	엔티모아	37.4	127.879	원주시 지정면 월송리 26-1	SKT2	[지상] 4/4층	옥상 조립식건물 벽 설치
01231322217 (2161)	엔티모아	37.266	128.74	강원 정선군 남면 문곡리 318-5	SKT2	[지상] 1/1층	
01231300181 (2162)	우리넷	36.924	128.119	충북 제천시 덕산면 신현리 1644-1	SKT1	[지상] 1/1층	컨테이너 기지국 AC분전함 측면
01231322245 (2163)	엔티모아	37.322	128.713	강원도 정선군 남면 낙동리 189-1	SKT1	[지상] 1/1층	
01231322357 (2164)	엔티모아	37.642	127.923	강원 홍천군 동면 월운리 392	SKT1	[지상] 1/1층	컨테이너형 기지국
01231322350 (2166)	엔티모아	37.786	127.996	강원 홍천군 화촌면 주음치리 359-3	SKT2	[지상] 1/1층	
01231322769 (2167)	엔티모아	37.339	128.784	강원 정선군 화암면 화암리 산 387	SKT1	[지상] 1/1층	컨테이너형기지국/출입문 우측변면설치
01231322445 (2168)	엔티모아	37.669	128.022	강원 홍천군 동면 노천리 952-17	SKT1	[지상] 1/1층	컨테이너령기지국
01231322435 (2169)	엔티모아	37.776	127.873	강원 홍천군 북방면 북방리 276-4	SKT2	[지상] 1/1층	컨테이너 기지국 내부
